AAA,Anaa
AAC,EL-ARISH
AAE,Annaba
AAF,APALACHICOLA MUNI AIRPORT
AAG,ARAPOTI
AAK,Aranuka
AAL,Aalborg Airport
AAM,  Mala Mala
AAN,Al Ain
AAP,Aji Pangeran Tumenggung Pranoto
AAQ,Anapa
AAR,Aarhus Tirstrup Airport
AAT,Altay
AAX,Araxa
AAY,Al Ghaydah
AAZ,Quetzaltenango
ABA,Abakan
ABB,Asaba
ABC,Albacete
ABD,Abadan
ABE,Allentown/Bethlehem/Easton
ABF,Abaiang
ABH,ALPHA
ABI,Abilene Regional Apt
ABJ,Abidjan
ABK,Kebri Dehar
ABL,Ambler
ABM,Bamaga
ABQ,Albuquerque
ABR,Aberdeen
ABS,Abu Simbel
ABT,Al Baha
ABU,Haliwen
ABV,Abuja
ABX,Albury
ABY,Albany Dougherty County Apt
ABZ,Aberdeen
ACA,Acapulco
ACC,Accra
ACE,Lanzarote
ACF,Aral Talim
ACH,Altenrhein
ACI,Alderney
ACK,Nantucket
ACP,Maragheh
ACR,Araracuara
ACT,Waco Municipal Apt
ACU,Achutupo
ACV,Arcata/Eureka
ACX,Xingyi
ACY,Atlantic City International
ACZ,Zabol
ADA,Adana
ADB,Izmir Adnan Menderes Apt
ADD,Addis Ababa
ADE,Aden
ADF,Adiyaman
ADH,ALDAN
ADJ,AMMAN MARKA INTL
ADK,Adak Island
ADL,Adelaide International
ADP,ANURADHAPURA
ADQ,Kodiak Apt
ADS,DALLAS/ADDISON
ADU,Ardabil
ADW,ANDREWS AFB
ADX,LEUCHARS
ADZ,San Andres Island
AEA,Abemama
AEB,Baise
AEG,  Padang Sidempuan
AEH,ABECHE
AEO,AIOUN-EL-ATROUSS
AEP,Buenos Aires Aeroparque J. Newbery
AER,Sochi
AES,Alesund
AET,Allakaket
AEU,Abu Musa
AEX,Alexandria International Apt
AEY,Akureyri
AFA,San Rafael
AFB,PAYERNE AFB
AFL,Alta Floresta
AFS,Zarafshan
AFT,  Afutara
AFW,FORT WORTH ALLIANCE
AFY,AFYON
AFZ,Sabzevar
AGA,Agadir
AGB,Munich Augsburg Apt
AGC,PITTSBURH/ALLEGHENY CO
AGF,Agen
AGH,Angelholm/Helsingborg Angelholm Apt
AGL,  Wanigela
AGM,Tasiilaq
AGN,Angoon
AGP,Malaga
AGQ,AGRINION
AGR,Agra
AGS,Augusta Bush Field
AGT,Ciudad del Este
AGU,Aguascalientes
AGV,ACARIGUA
AGX,Agatti Island
AGZ,AGGENEYS
AHB,Abha
AHE,Ahe
AHJ,Hongyuan
AHN,Athens
AHO,Alghero
AHS,  Ahuas
AHU,Al Hoceima
AIA,Alliance
AIC,XXX
AID,ANDERSON MUN DARLINGTON FLD
AIF,ASSIS
AIM,XXX
AIN,Wainwright
AIP,Adampur
AIR,Aripuana Airport
AIS,Arorae
AIT,Aitutaki Island
AIU,Atiu Island
AJA,Ajaccio
AJF,Jouf
AJI,Agri
AJK,Arak
AJL,Aizawl
AJN,Anjouan
AJR,Arvidsjaur
AJU,Aracaju
AJY,AGADEZ/MANU DAYAK
AKA,  Ankang
AKB,Atka
AKC,AKRON
AKD,AKOLA
AKF,Kufra
AKH,GASTONIA MUNI
AKI,Akiak
AKJ,Asahikawa
AKK,Akhiok
AKL,Auckland International Apt
AKN,King Salmon
AKP,Anaktuvuk Pass
AKR,AKURE
AKS,Auki
AKT,AKROTIRI
AKU,Aksu
AKV,Akulivik
AKX,Aktobe
AKY,Sittwe
ALA,Almaty
ALB,Albany International Airport
ALC,Alicante
ALF,Alta
ALG,Algiers
ALH,Albany
ALI,ALICE INTL
ALJ,ALEXANDER BAY
ALL,ALBENGA
ALM,  Alamogordo
ALN,ALTON/ST. LOUIS REGIONAL
ALO,Waterloo
ALQ,Alegrete
ALP,ALEPPO INTL
ALR,ALEXANDRA
ALS,Alamosa
ALW,Walla Walla
ALY,ALEXANDRIA INTL
ALZ,Alitak
AMA,Amarillo International Apt
AMD,Ahmedabad
AMH,Arba Minch
AMI,MATARAM/SELAPARANG
AMJ,ALMENARA
